Original Name,Icon Path

TOWN CATEGORIES,-
townsfolk categories,Townsfolk/Townsfolk Card
townsfolk miscellaneous,Townsfolk/Miscellaneous/Devout Villager
townsfolk group,Townsfolk/Group/Baker
townsfolk investigative,Townsfolk/Investigative/Aura Teller
townsfolk killing,Townsfolk/Killing/Assassin
townsfolk power,Townsfolk/Power/Stalker

WOLF CATEGORIES,-
werewolf categories,Werewolf/Wolf Card
werewolf miscellaneous,Werewolf/Miscellaneous/Wolf
werewolf group,Werewolf/Group/Hellhound
werewolf investigative,Werewolf/Investigative/Psychic Wolf 
werewolf power,Werewolf/Power/Tanner
werewolf killing,Werewolf/Killing/Alpha Wolf

UA CATEGORIES,-
unaligned categories,Placeholder/Unaligned
unaligned miscellaneous,Unaligned/Miscellaneous/Riding Hood
unaligned investigative,Unaligned/Investigative/Detective
unaligned power,Unaligned/Power/Cautious Hag
unaligned killing,Unaligned/Killing/Angel
unaligned align,Unaligned/Align/Cat
unaligned align  hags,Unaligned/Miscellaneous/Hag
unaligned align  cupid,Unaligned/Align/Cupid

EXTRA CATEGORIES,-
extra categories,Extras/Extra
extra elected,Extra/Elected/Mayor
extra miscellaneous,Extra/Miscellaneous/Lover
extra killing,Extra/Killing/Fletchers Customer
extra power,Extra/Power/Amulet Of Protection

SOLO CATEGORIES,-
solo categories,Placeholder/Solo
solo killing,Categories/Killing
solo miscellaneous,Categories/Miscellaneous
solo power,Categories/Power
solo investigative,Categories/Invest Card

TEAMS,-
townsfolk,Townsfolk/Townsfolk Card
werewolves,Werewolf/Wolf Card
solo teams,Solo/Miscellaneous
hell team,Solo/Hell/Hell Card
underworld team,Solo/Underworld/Underworld Card
flute team,Solo/Flute/Flute Team
graveyard team,Solo/Graveyard/Graveyard Team
coven team,Solo/Coven/Coven Card
nightmare team,Solo/Nightmare/Nightmare Team
plague team,Extras/Rodent
pyro team,Solo/Pyro/Pyro Card
white wolves team,Solo/White Wolves/White Wolves Card
horsemen team,Solo/Horsemen/Horsemen

ABILITY TYPES,-
killing,Categories/Killing
investigations,Categories/Invest Card
targeting,Extras/Targeting
disguises,Extras/Disguise
protections,Extras/Protect
applying,Extras/Extra
redirections,Extras/Redirect
vote manipulations,Extras/Vote Manipulation
whispers,Extras/Whispering
joining,Categories/Group Card
granting,Extras/Extra
loyalty,Extras/Soul
obstructions,Extras/Bot Developer
poll manipulation,Extras/Voting Booth
announcements,Werewolf/Miscellaneous/Knowledgeable Wolf List
role changes,Extras/Role Change
ability copying,Extras/Copying
